id,CARTON ,REF,TYPE,COULEUR,CLIENT ,PROD_PROTO,QTE_stock ,PHOTO_DES_SAC,DIMENSIONS,QTE_sortie,QTE_restante,date,beneficiaire
1,1,RT3,SAC,ROUGE,VOLKER,PROD,3,,,,,,
2,2,,POCHETTE GM,CAMEL,BLACH,PROD,4,,,,,,
3,2,,POCHETTE PM ,CAMEL,BLACH,PROD,124,,,,,,
4,2,,POCHETTE PM,NOIR,BLACH,PROD,3,,,,,,
5,2,,POCHETTE GM,NOIR,BLACH,PROD,12,,,,,,
6,3,,TROUSSE GM,NOIR,BLACH,PROD,1,,,,,,
7,3,,POCHETTE GM,CAMEL,BLACH,PROD,75,,,,,,
8,4,,SAC PM,BLEU,BLACH,PROD,1,,,,,,
9,4,,SAC PM,NOIR,BLACH,PROD,9,,,,,,
10,5,,sac cabas lanier,NOIR + BLAN CASSE ,LITAL,PROD,4,,,,,,
11,6,,POCHETTE,MARRON BRILLANT,CATHRINE ,PROD,42,,,il y a plusieurs tailles ,,,
12,6,,POCHETTE,ROSE BRILLANT,CATHRINE ,PROD,8,,,plusieurs couleurs,,,
13,6,,POCHETTE,MARRON FONCEE,CATHRINE ,PROD,24,,,,,,
14,6,,POCHETTE,MARRON CLAIR,CATHRINE ,PROD,26,,,,,,
15,6,,POCHETTE,ROUGE BORDEAUX,CATHRINE ,PROD,1,,,,,,
16,7,,POCHETTE PM,NOIR,BLACH,PROD,61,,,,,,
17,7,,POCHETTE GM,NOIR,BLACH,PROD,80,,,,,,
18,8,,SAC ,NOIR,BLACH,PROD,1,,,,,,
19,8,,SAC ,ROUGE,BLACH,PROD,3,,,,,,
20,9,,CABAS GM,BLEU +BEIGE ,CROMODA,PROD,1,,,,,,
21,9,,CABAS PM,BLEU +BEIGE ,CROMODA,PROD,1,,,,,,
22,10,,CARTABLE,NOIR,TEXIER,PROD,1,,,,,,
23,10,,,MARON FONCEE,TEXIER,PROD,1,,,,,,
24,10,,CARTABLE,NOIR,TEXIER,PROD,2,,,,,,
25,10,,CARTABLE,NOIR,TEXIER,PROD,1,,,,,,
26,10,,CARTABLE,NOIR,TEXIER,PROD,1,,,,,,
27,11,,BOITE,NOIR,4 SEASON,PROD,20,,,,,,
28,11,,CANDY BOX,VERT,4  SEASON,PROD,3,,,,,,
29,11,,WATER ET GLASS,VERT,4  SEASON,PROD,9,,,,,,
30,11,,TISSU BOX,MARON ,4  SEASON,PROD,7,,,,,,
31,11,,,VERT,4  SEASON,PROD,9,,,,,,
32,11,,,NOIR,4  SEASON,PROD,1,,,,,,
33,12,,QUEST QUESTIONNAIRE,NOIR,4  SEASON,PROD,3,,,,,,
34,12,,QUEST QUESTIONNAIRE A 4,NOIR,,PROD,9,,,,,,
35,12,,PORTE DOCUMENT,NOIR,,,4,,,,,,
36,12,,PORTE AGENDA,NOIR,,,1,,,,,,
37,12,,COUVRE BOITE,VERT,,,1,,,,,,
38,12,,BLOTTER ,NOIR,,,2,,,,,,
39,13,,CARTABLES HOMME,NOIR,LITAL,PROTO,1,,,,,,
40,13,,CARTABLE SAMI ,NOIR ,LITAL,PROTO,1,,,,,,
41,13,,CARTABLE FAREH,NOIR,LITAL,PROTO,1,,,,,,
42,13,,SAC A DOS,MARRON FONCEE,LITAL,PROTO,1,,,,,,
43,13,,CARTABLE AHMED,NOIR,LITAL,PROTO,1,,,,,,
44,14,,SACS MONA,BLEU,LITAL,PROTO,1,,,,,,
45,14,,,NOIR + MARRON CLAIRE,LITAL,PROTO,1,,,,,,
